SrcFileName,ReportedDateTime,Athletic Fields,Garden,Hard Court Surfaces,Picnic Areas,Playground/Tot Lot,Trails/Paths,Wading Pool
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-01 15:00:00,0.0,0.0,2.0,5.0,6.0,2.0,2.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-01 16:00:00,0.0,0.0,0.0,2.0,3.0,1.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-01 17:00:00,0.0,0.0,20.0,4.0,8.0,3.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-01 18:00:00,4.0,0.0,24.0,6.0,9.0,7.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 12:00:00,0.0,0.0,0.0,0.0,2.0,0.0,8.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 13:00:00,0.0,0.0,0.0,0.0,2.0,0.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 14:00:00,0.0,0.0,0.0,0.0,0.0,2.0,13.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 15:00:00,0.0,0.0,0.0,2.0,8.0,2.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 16:00:00,0.0,0.0,0.0,4.0,3.0,0.0,4.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-10 17:00:00,0.0,0.0,5.0,2.0,7.0,2.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 11:00:00,12.0,1.0,14.0,15.0,13.0,8.0,11.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 12:00:00,15.0,4.0,1.0,9.0,7.0,0.0,0.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 13:00:00,11.0,12.0,2.0,1.0,14.0,7.0,8.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 14:00:00,2.0,8.0,7.0,3.0,5.0,1.0,6.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 15:00:00,7.0,13.0,5.0,12.0,13.0,1.0,3.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 16:00:00,16.0,5.0,8.0,7.0,10.0,14.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 17:00:00,1.0,13.0,3.0,15.0,7.0,9.0,15.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 18:00:00,15.0,10.0,16.0,1.0,4.0,4.0,5.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-11 19:00:00,2.0,14.0,12.0,5.0,10.0,3.0,8.0
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 11:00:00,15.0,7.0,16.0,1.0,1.0,9.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 12:00:00,1.0,9.0,15.0,1.0,1.0,4.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 13:00:00,1.0,13.0,0.0,7.0,2.0,5.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 14:00:00,11.0,12.0,5.0,4.0,10.0,5.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 15:00:00,11.0,1.0,11.0,12.0,2.0,11.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 16:00:00,4.0,4.0,7.0,13.0,13.0,10.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 17:00:00,16.0,13.0,2.0,0.0,13.0,13.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 18:00:00,3.0,4.0,2.0,1.0,16.0,7.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-12 19:00:00,9.0,7.0,9.0,14.0,5.0,7.0,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-13 10:00:00,,,,2.0,2.0,,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-13 11:00:00,,,,0.0,1.0,,
_GitHub_ExcelDataCollectionParser2_data_sample_folder_3_2018_Location_F_TypeA_,2018-08-13 12:00:00,0.0,0.0,0.0,1.0,16.0,0.0,13.0
